Biračko mjesto:,municipality_ID,party,values
001A005,001,STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE,0
001A005,001,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,6
001A005,001,STRANKA ZA NAROD BOSNE I HERCEGOVINE,0
001A005,001,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,19
001A005,001,PARTIJA PRAVOG PUTA,0
001A005,001,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,0
001A005,001,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,1
001A005,001,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,1
001A006,001,BPS - SEFER HALILOVIĆ,1
001A006,001,STRANKA ZA BOSNU I HERCEGOVINU,23
001A006,001,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,51
001A006,001,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,1
001A006,001,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,213
001A006,001,DEMOKRATSKA STRANKA INVALIDA BIH,1
001A006,001,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,1
001A006,001,СОЦИЈАЛИСТИЧКА ПАРТИЈА,0
001A006,001,SDA - STRANKA DEMOKRATSKE AKCIJE,42
001A006,001,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,0
001A006,001,NARODNA STRANKA RADOM ZA BOLJITAK,38
001A006,001,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,5
001A006,001,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,0
001A006,001,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,0
001A006,001,STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE,0
001A006,001,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,4
001A006,001,STRANKA ZA NAROD BOSNE I HERCEGOVINE,0
001A006,001,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,18
001A006,001,PARTIJA PRAVOG PUTA,1
001A006,001,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,5
001A006,001,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0
001A006,001,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,1
001A007A,001,BPS - SEFER HALILOVIĆ,0
001A007A,001,STRANKA ZA BOSNU I HERCEGOVINU,9
