Biračko mjesto:,municipality_ID,candidate,votes
007B003,007,МАТИЋ ГОРАН - МАТИЋ ГОРАН - НЕЗАВИСНИ КАНДИДАТ,0.0
007B003,007,ТАДИЋ ОГЊЕН - КОАЛИЦИJА ЗАJЕДНО ЗА СРПСКУ,179.0
007B003,007,ДОДИК МИЛОРАД - СНСД - ДНС - СП,196.0
007B003,007,MATIĆ ŽELJKO - HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0.0
007B003,007,SULEJMANOVIĆ BEGO - LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,3.0
007B003,007,KNEŽEVIĆ LJILJANA - KOALICIJA PREOKRET: GDS BIH I NEP BIH,0.0
007B004,007,DELIBAJRIĆ AGAN - BPS - SEFER HALILOVIĆ,4.0
007B004,007,MURSELOVIĆ MUHAREM - STRANKA ZA BOSNU I HERCEGOVINU,34.0
007B004,007,SULJKANOVIĆ ENES - SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,5.0
007B004,007,KAMENJAŠEVIĆ IVO - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,0.0
007B004,007,HAFIZOVIĆ ŠEVKET - SDA - STRANKA DEMOKRATSKE AKCIJE,46.0
007B004,007,KRNDELJ IVAN - HSS - NHI,1.0
007B004,007,МРГАН ДРАГАН - NARODNA STRANKA RADOM ZA BOLJITAK,0.0
007B004,007,ВЛАЈКИ ЕМИЛ - НАРОДНА ДЕМОКРАТСКА СТРАНКА,0.0
007B004,007,DRAGIČEVIĆ SLAVKO - SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,0.0
007B004,007,ЂУРЂЕВИЋ ДРАГАН - СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,1.0
007B004,007,HAMIDOVIĆ BESIM - STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,1.0
007B004,007,КАЛИНИЋ ДРАГАН - САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,0.0
007B004,007,NUKIĆ SADMIR - SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,12.0
007B004,007,МАТИЋ ГОРАН - МАТИЋ ГОРАН - НЕЗАВИСНИ КАНДИДАТ,0.0
007B004,007,ТАДИЋ ОГЊЕН - КОАЛИЦИJА ЗАJЕДНО ЗА СРПСКУ,67.0
007B004,007,ДОДИК МИЛОРАД - СНСД - ДНС - СП,95.0
007B004,007,MATIĆ ŽELJKO - HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0.0
007B004,007,SULEJMANOVIĆ BEGO - LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,1.0
007B004,007,KNEŽEVIĆ LJILJANA - KOALICIJA PREOKRET: GDS BIH I NEP BIH,1.0
007B005,007,DELIBAJRIĆ AGAN - BPS - SEFER HALILOVIĆ,8.0
007B005,007,MURSELOVIĆ MUHAREM - STRANKA ZA BOSNU I HERCEGOVINU,41.0
007B005,007,SULJKANOVIĆ ENES - SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,32.0
007B005,007,KAMENJAŠEVIĆ IVO - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,3.0
007B005,007,HAFIZOVIĆ ŠEVKET - SDA - STRANKA DEMOKRATSKE AKCIJE,28.0
007B005,007,KRNDELJ IVAN - HSS - NHI,0.0
007B005,007,МРГАН ДРАГАН - NARODNA STRANKA RADOM ZA BOLJITAK,0.0
007B005,007,ВЛАЈКИ ЕМИЛ - НАРОДНА ДЕМОКРАТСКА СТРАНКА,3.0
007B005,007,DRAGIČEVIĆ SLAVKO - SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,0.0
007B005,007,ЂУРЂЕВИЋ ДРАГАН - СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,2.0
007B005,007,HAMIDOVIĆ BESIM - STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,1.0
007B005,007,КАЛИНИЋ ДРАГАН - САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,0.0
007B005,007,NUKIĆ SADMIR - SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,10.0
007B005,007,МАТИЋ ГОРАН - МАТИЋ ГОРАН - НЕЗАВИСНИ КАНДИДАТ,0.0
007B005,007,ТАДИЋ ОГЊЕН - КОАЛИЦИJА ЗАJЕДНО ЗА СРПСКУ,121.0
007B005,007,ДОДИК МИЛОРАД - СНСД - ДНС - СП,162.0
007B005,007,MATIĆ ŽELJKO - HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0.0
007B005,007,SULEJMANOVIĆ BEGO - LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,4.0
007B005,007,KNEŽEVIĆ LJILJANA - KOALICIJA PREOKRET: GDS BIH I NEP BIH,1.0
007B006,007,DELIBAJRIĆ AGAN - BPS - SEFER HALILOVIĆ,6.0
007B006,007,MURSELOVIĆ MUHAREM - STRANKA ZA BOSNU I HERCEGOVINU,25.0
007B006,007,SULJKANOVIĆ ENES - SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,18.0
007B006,007,KAMENJAŠEVIĆ IVO - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,2.0
007B006,007,HAFIZOVIĆ ŠEVKET - SDA - STRANKA DEMOKRATSKE AKCIJE,40.0
007B006,007,KRNDELJ IVAN - HSS - NHI,0.0
007B006,007,МРГАН ДРАГАН - NARODNA STRANKA RADOM ZA BOLJITAK,1.0
