Election,Election Unit,Type,Party,Votes
parliament_bih,515,POŠTOM,KOALICIJA PREOKRET: GDS BIH I NEP BIH,4
parliament_bih,515,POŠTOM,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,389
parliament_bih,515,POŠTOM,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,271
parliament_bih,515,POŠTOM,NARODNA STRANKA RADOM ZA BOLJITAK,19
parliament_bih,515,POŠTOM,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,7
parliament_bih,515,ODUSTVO,BPS - SEFER HALILOVIĆ,28
parliament_bih,515,ODUSTVO,STRANKA ZA BOSNU I HERCEGOVINU,123
parliament_bih,515,ODUSTVO,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,324
parliament_bih,515,ODUSTVO,DEMOKRATSKA STRANKA INVALIDA BIH,17
parliament_bih,515,ODUSTVO,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,36
parliament_bih,515,ODUSTVO,SDA - STRANKA DEMOKRATSKE AKCIJE,229
parliament_bih,515,ODUSTVO,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,30
parliament_bih,515,ODUSTVO,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,8
parliament_bih,515,ODUSTVO,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,11
parliament_bih,515,ODUSTVO,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,81
parliament_bih,515,ODUSTVO,STRANKA KOKUZA - SKOK,5
parliament_bih,515,ODUSTVO,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,5
parliament_bih,515,ODUSTVO,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0
parliament_bih,515,ODUSTVO,KOALICIJA PREOKRET: GDS BIH I NEP BIH,4
parliament_bih,515,ODUSTVO,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,94
parliament_bih,515,ODUSTVO,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,31
parliament_bih,515,ODUSTVO,NARODNA STRANKA RADOM ZA BOLJITAK,21
parliament_bih,515,ODUSTVO,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,25
parliament_bih,515,POTVRÐENI,BPS - SEFER HALILOVIĆ,1
parliament_bih,515,POTVRÐENI,STRANKA ZA BOSNU I HERCEGOVINU,2
parliament_bih,515,POTVRÐENI,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,2
parliament_bih,515,POTVRÐENI,DEMOKRATSKA STRANKA INVALIDA BIH,0
parliament_bih,515,POTVRÐENI,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,2
parliament_bih,515,POTVRÐENI,SDA - STRANKA DEMOKRATSKE AKCIJE,7
parliament_bih,515,POTVRÐENI,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,0
parliament_bih,515,POTVRÐENI,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,0
parliament_bih,515,POTVRÐENI,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,0
parliament_bih,515,POTVRÐENI,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,2
parliament_bih,515,POTVRÐENI,STRANKA KOKUZA - SKOK,0
