Biračko mjesto:,municipality_ID,party,votes
007B000,007,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,0.0
007B000,007,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,0.0
007B000,007,NARODNA STRANKA RADOM ZA BOLJITAK,0.0
007B000,007,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,0.0
007B000,007,НАРОДНА ДЕМОКРАТСКА СТРАНКА,0.0
007B000,007,СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,0.0
007B000,007,ЕКОЛОШКА ПАРТИЈА РЕПУБЛИКЕ СРПСКЕ,0.0
007B000,007,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,0.0
007B000,007,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,0.0
007B000,007,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,0.0
007B000,007,СРПСКА НАПРЕДНА СТРАНКА,0.0
007B000,007,СОЦИЈАЛИСТИЧКА ПАРТИЈА И ПАРТИЈА УЈЕДИЊЕНИХ ПЕНЗИОНЕРА,0.0
007B000,007,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,0.0
007B000,007,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0.0
007B000,007,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0.0
007B001,007,STRANKA ZA BOSNU I HERCEGOVINU,1.0
007B001,007,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,2.0
007B001,007,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,22.0
007B001,007,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,76.0
007B001,007,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,0.0
007B001,007,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,0.0
007B001,007,SDA - STRANKA DEMOKRATSKE AKCIJE,6.0
007B001,007,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,44.0
007B001,007,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,32.0
007B001,007,NARODNA STRANKA RADOM ZA BOLJITAK,3.0
007B001,007,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,164.0
007B001,007,НАРОДНА ДЕМОКРАТСКА СТРАНКА,1.0
007B001,007,СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,4.0
007B001,007,ЕКОЛОШКА ПАРТИЈА РЕПУБЛИКЕ СРПСКЕ,3.0
007B001,007,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,0.0
007B001,007,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,3.0
007B001,007,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,2.0
007B001,007,СРПСКА НАПРЕДНА СТРАНКА,3.0
007B001,007,СОЦИЈАЛИСТИЧКА ПАРТИЈА И ПАРТИЈА УЈЕДИЊЕНИХ ПЕНЗИОНЕРА,19.0
007B001,007,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,2.0
007B001,007,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,2.0
007B001,007,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,1.0
007B002,007,STRANKA ZA BOSNU I HERCEGOVINU,10.0
