701 PREDSJEDNIŠTVO BIH BOŠNJAČKI ČLAN / ПРЕДСЈЕДНИШТВО БИХ БОШЊАЧКИ ЧЛАН 
00001 BPS-SEFER HALILOVIĆ 
  HALILOVIĆ SEFER 
01182 SBB - FAHRUDIN RADONČIĆ 
  RADONČIĆ FAHRUDIN 
01190 STRANKA DIJASPORE BOSNE I HERCEGOVINE 
3  ŠAĆIROVIĆ ISMET 
00502 NARODNA STRANKA RADOM ZA BOLJITAK 
1  ČEHIĆ ERMIN 
2  MARUŠIĆ JASMINA 
3  ORLANDIĆ RATKO 
4  VULETA SANJA 
5  TIBOLD FRANJO 
515 ZASTUPNIČKI/PREDSTAVNIČKI DOM PARLAMENTARNE SKUPŠTINE BIH IZBORNA JEDINICA 5А / 
ЗАСТУПНИЧКИ/ПРЕДСТАВНИЧКИ ДОМ ПАРЛАМЕНТАРНЕ СКУПШТИНЕ БИХ ИЗБОРНА ЈЕДИНИЦА 5А 
01754 ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ) 
1  PUŠKAR MUHAMED 
2  ZLATKIĆ ENIDA 
3  OMEROVIĆ BEGAJET 
4  JURIĆ MARIJANA 
5  JAHIĆ VEHID 
00001 BPS-SEFER HALILOVIĆ 
1  NIŠTOVIĆ SAMIR 
2  ČAMDŽIĆ SELMA 
3  MUJANOVIĆ FEJZULAH 
4  AŠČERIĆ-MUJEDINOVIĆ ERSIJA 
5  MUSIĆ MUHAREM 
6  TERZIĆ DENISA 
7  MUJIĆ MIRSAD 
8  OŠTRAKOVIĆ EŠEF 
9  BULJUBAŠIĆ SENADA 
10  ĆASUROVIĆ EMRAH 
01755 SNAGA BIH - HSP BIH-DSI 
1  BANOVIĆ PEJO 
2  GALUŠIĆ SLAVICA 
00515 САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК 
1  ИЛИЋ МИЛАН 
01687 UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS 
1  PUŠKAR OSMAN 
2  BEĆIROVIĆ JASMINKA 
3  HRUSTIĆ FEHRET 
4  TOMIĆ IVANA 
5  HADŽIBEGANOVIĆ EDIN 
01182 SBB - FAHRUDIN RADONČIĆ 
1  ĐONLAGIĆ MIRSAD 
2  ŠALDIĆ MIRJANA 
3  ŽIGIĆ IZET 
4  KONJIĆ ELVIRA 
5  IBRAHIMOVIĆ JAKUB 
6  PODGORIĆ ERVINA 
7  KADIĆ ALMIR 
8  MUSIĆ ESED 
9  ATLIĆ VAHIDA 
10  KURTIĆ REŠID 
